"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","ANTI-INFLAMMATOIRES NON STÉROÏDIENS","Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, diurétiques, altération rénale). Réduction de l'effet antihypertenseur.","Précaution d'emploi","Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l'association."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS)","Risque d'hyperkaliémie (potentiellement létale) surtout en cas d'insuffisance rénale.","Association déconseillée / Précaution d'emploi","Association déconseillée: contrôle strict kaliémie/fonction rénale si justifiée. Précaution d'emploi pour spironolactone (12.5-50mg/j) ou éplérénone dans l'IC."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","DIURÉTIQUES HYPOKALIÉMIANTS","Risque d'hypotension artérielle brutale et/ou d'insuffisance rénale aiguë lors de l'instauration en cas de déplétion hydrosodée.","Précaution d'emploi","Arrêter le diurétique ou débuter à doses réduites d'ARA II. Surveiller la fonction rénale (créatininémie)."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","EPLERENONE","Majoration du risque d'hyperkaliémie, notamment chez le sujet âgé.","Précaution d'emploi","Contrôle strict de la kaliémie et de la fonction rénale pendant l'association."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","INHIBITEURS DE L'ENZYME DE CONVERSION","Risque accru de dégradation de la fonction rénale (voire IRA), majoration de l'hyperkaliémie, de l'hypotension et des syncopes.","A prendre en compte",""
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","LITHIUM","Augmentation de la lithémie pouvant atteindre des valeurs toxiques (diminution de l'excrétion rénale).","Association DECONSEILLEE","Si indispensable, surveillance stricte de la lithémie et adaptation de la posologie."
"ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II","POTASSIUM","Pour quantité > 1 mmol/prise: hyperkaliémie potentiellement létale, notamment chez l'insuffisant rénal.","Association DECONSEILLEE","Sauf en cas d'hypokaliémie."
"ANTIAGRÉGANTS PLAQUETTAIRES","ANAGRELIDE","Majoration des événements hémorragiques.","Association DECONSEILLEE",""
"ANTIAGRÉGANTS PLAQUETTAIRES","ANTICOAGULANTS ORAUX","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTIAGRÉGANTS PLAQUETTAIRES","ANTI-INFLAMMATOIRES NON STÉROÏDIENS","Augmentation du risque hémorragique, notamment gastro-intestinal.","A prendre en compte",""
